old_name,old_parent,old_account_number,canonical_name,canonical_parent,canonical_account_number,canonical_root_type,canonical_account_type,migration_action,is_group
4000231 - ROYALTY FEES - BEI,4000230 - FEES - BEI,4000231,ROYALTY FEES - BEI,FEES - BEI,4000231,Income,Income Account,RENAME,0
4000232 - MANAGEMENT FEES - BEI,4000230 - FEES - BEI,4000232,MANAGEMENT FEES - BEI,FEES - BEI,4000232,Income,Income Account,RENAME,0
4000233 - FRANCHISE FEES - BEI,4000230 - FEES - BEI,4000233,FRANCHISE FEES - BEI,FEES - BEI,4000233,Income,Income Account,RENAME,0
4000234 - MARKETING FEES - BEI,4000230 - FEES - BEI,4000234,MARKETING FEES - BEI,FEES - BEI,4000234,Income,Income Account,RENAME,0
4000235 - E-COMMERCE FEES - BEI,4000230 - FEES - BEI,4000235,E-COMMERCE FEES - BEI,FEES - BEI,4000235,Income,Income Account,RENAME,0
4000901 - SALES DISCOUNT DUE TO FREE HALOHALO - BEI,4000900 - DISCOUNTS AND PROMO - BEI,4000901,SALES DISCOUNT DUE TO FREE HALOHALO - BEI,DISCOUNTS AND PROMO - BEI,4000901,Income,Income Account,RENAME,0
4000902 - SALES DISCOUNT OF SENIOR CITIZENS - BEI,4000900 - DISCOUNTS AND PROMO - BEI,4000902,SALES DISCOUNTS OF PWDS - BEI,DISCOUNTS AND PROMO - BEI,4000902,Income,Income Account,RENAME,0
4000903 - SALES DISCOUNTS OF PWDS - BEI,4000900 - DISCOUNTS AND PROMO - BEI,4000903,SALES DISCOUNTS OF SENIOR CITIZENS - BEI,DISCOUNTS AND PROMO - BEI,4000903,Income,Income Account,RENAME,0
4000904 - SALES DISCOUNTS OF STAFFS AND EMPLOYEES - BEI,4000900 - DISCOUNTS AND PROMO - BEI,4000904,SALES DISCOUNTS - PROMO - BEI,DISCOUNTS AND PROMO - BEI,4000904,Income,Income Account,RENAME,0
4000905 - SALES DISCOUNTS FROM VAT OF PWD - BEI,4000900 - DISCOUNTS AND PROMO - BEI,4000905,SALES DISCOUNTS - EMPLOYEE - BEI,DISCOUNTS AND PROMO - BEI,4000905,Income,Income Account,RENAME,0
4000906 - SALES DISCOUNTS FROM VAT OF SENIOR CITIZENS - BEI,4000900 - DISCOUNTS AND PROMO - BEI,4000906,SALES DISCOUNTS - REFUND - BEI,DISCOUNTS AND PROMO - BEI,4000906,Income,Income Account,RENAME,0
4000907 - SALES REFUNDS TO CUSTOMER - BEI,4000900 - DISCOUNTS AND PROMO - BEI,4000907,SALES DISCOUNTS - GIFT CARDS - BEI,DISCOUNTS AND PROMO - BEI,4000907,Income,Income Account,RENAME,0
4000908 - SALES DISCOUNTS - EMPLOYEE DISC - BEI,4000900 - DISCOUNTS AND PROMO - BEI,4000908,SALES DISCOUNTS - OTHERS - BEI,DISCOUNTS AND PROMO - BEI,4000908,Income,Income Account,RENAME,0
Creditors - BEI,CURRENT LIABILITIES - Bebang Enterprise Inc.,,Creditors - BEI,Accounts Payable - BEI,,Liability,Payable,NOOP,0
Debtors - BEI,CURRENT ASSETS - Bebang Enterprise Inc.,,Debtors - BEI,Accounts Receivable - BEI,,Asset,Receivable,NOOP,0
4000121 - BEI WEBSITE - BEI,4000120 - ONLINE SALES - BEI,4000121,BEI WEBSITE - BEI,ONLINE SALES - BEI,4000121,Income,Income Account,RENAME,0
4000122 - FOOD PANDA - BEI,4000120 - ONLINE SALES - BEI,4000122,FOOD PANDA - BEI,ONLINE SALES - BEI,4000122,Income,Income Account,RENAME,0
4000123 - GRAB - BEI,4000120 - ONLINE SALES - BEI,4000123,GRAB - BEI,ONLINE SALES - BEI,4000123,Income,Income Account,RENAME,0
4000221 - DELIVERY INCOME - BEI,4000220 - LOGISTICS - BEI,4000221,DELIVERY INCOME - BEI,LOGISTICS - BEI,4000221,Income,Income Account,RENAME,0
4000222 - LOGISTICS INCOME - BEI,4000220 - LOGISTICS - BEI,4000222,LOGISTICS INCOME - BEI,LOGISTICS - BEI,4000222,Income,Income Account,RENAME,0
